iLISI_scaled,graph_conn_scaled,pcr_scaled,silhouette_batch_scaled,avg_score,type,homology_method,integration_method,iLISI_scaled_rank,graph_conn_scaled_rank,pcr_scaled_rank,silhouette_batch_scaled_rank
0,0.6939703390358325,1,0.8362809564196182,0.6325628238638626,SAMap full,full,SAMap,25,14,1,9
0.007370929619446066,0.7105342710103026,0.5775183590974159,0.9118268813765569,0.5518126102759303,fastMNN higher expression,higher expression,fastMNN,24,12,22,7
0.09125565308993747,0.7113572726777356,0.8939859243854071,0.9146358238680179,0.6528086685052745,harmony higher expression,higher expression,harmony,15,11,16,6
0.8172065887262265,0.30097306660645046,0.958556342540584,0.8125475592337302,0.7223208892767478,LIGER higher expression,higher expression,LIGER,3,20,7,13
0.029309071235445953,0.2648594263262333,0.06842371285569208,0,0.09064805260434285,scanorama higher expression,higher expression,scanorama,20,21,23,25
0.20898119104274368,0.9804925703057076,0.9702513365904718,0.8333309503427617,0.7482640120704211,scVI higher expression,higher expression,scVI,8,2,5,10
0.08159326465915832,0.9218230836081039,0.8036475795097092,0.6770363894991465,0.6210250793190295,seuratCCA higher expression,higher expression,seuratCCA,16,3,18,19
0.07273372405491577,0.8606499619035259,0.9076171637003138,0.7012136499417703,0.6355536249001315,seuratRPCA higher expression,higher expression,seuratRPCA,17,4,12,18
0.012433690627366776,0.7003462013109375,0.5949805713447779,0.9258091851999977,0.55839241212077,fastMNN stronger homology,stronger homology,fastMNN,23,13,21,5
0.10563960015136668,0.7556926795608003,0.9002118511893146,0.9514734858870728,0.6782544041971386,harmony stronger homology,stronger homology,harmony,13,8,15,3
0.9406141820187407,0.3027506357298948,0.9768156028824511,0.7666451216371898,0.746706385567069,LIGER stronger homology,stronger homology,LIGER,2,19,3,16
0.02611331467771496,0.354104428438798,0.01096523822806312,0.04736697965828012,0.10963749025071405,scanorama stronger homology,stronger homology,scanorama,21,18,24,24
0.1405740511351067,1,0.9656529547340655,0.869792080641571,0.7440047716276859,scVI stronger homology,stronger homology,scVI,10,1,6,8
0.11837153672697427,0.850231150037991,0.8138357673024016,0.7830566039979006,0.6413737645163169,seuratCCA stronger homology,stronger homology,seuratCCA,12,6,17,14
0.10172710144411971,0.852571220881259,0.913658218222688,0.7692549164991389,0.6593028642618014,seuratRPCA stronger homology,stronger homology,seuratRPCA,14,5,10,15
0.01608652793253122,0.6345890994422889,0.6096651310584938,0.9711833317246854,0.5578810225394999,fastMNN one2one only,one2one only,fastMNN,22,16,20,2
0.1407449758670454,0.641132957850423,0.9187736494175104,1,0.6751628957837448,harmony one2one only,one2one only,harmony,9,15,8,1
1,0.23216959382393718,0.9810570997830182,0.8177416312167533,0.7577420812059272,LIGER one2one only,one2one only,LIGER,1,22,2,11
0.045614201417728324,0.37068136491658377,0,0.19760178890880276,0.1534743388107787,scanorama one2one only,one2one only,scanorama,19,17,25,23
0.5647784622060276,0.7166029787890925,0.9715145979569833,0.9316222216551185,0.7961295651518056,scVI one2one only,one2one only,scVI,5,10,4,4
0.11896866681251513,0.7893381175305852,0.795889567398596,0.748462074226573,0.6131646064920673,seuratCCA one2one only,one2one only,seuratCCA,11,7,19,17
0.07098146465996268,0.7198217139847027,0.9096752658306797,0.8155747997477142,0.6290133110557649,seuratRPCA one2one only,one2one only,seuratRPCA,18,9,11,12
0.3526722598526572,0,0.9054784353423008,0.3630962068708712,0.4053117255164573,LIGER_UINMF higher expression,higher expression,LIGER_UINMF,7,25,13,21
0.570035106917207,0.1161537263802291,0.9020006694842706,0.26361416444793834,0.4629509168074113,LIGER_UINMF stronger homology,stronger homology,LIGER_UINMF,4,23,14,22
0.5640858879388049,0.07984225532459001,0.9161394280587364,0.6577526173306545,0.5544550471631964,LIGER_UINMF one2one only,one2one only,LIGER_UINMF,6,24,9,20
