task,integration_method,homology_method,NMI_cluster/label,ARI_cluster/label,cLISI,silhouette,type,acc_loss_avg,acc_loss_avg_scaled,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,bio_score
hs_mf,seuratCCA,one2one only,0.8529725009493462,0.851547788473076,1,0.6736675798892975,seuratCCA one2one only,0.002958321367774852,0.9962287208181161,1,0.974967446437994,0.9909756111346558,1,0.9952801295331255
hs_mf,seuratCCA,stronger homology,0.855900312017497,0.8458629796949625,1,0.6788113415241241,seuratCCA stronger homology,0.005133775681936181,0.9916283521378073,1,1,1,0.9895362465365022,0.9927794940370711
hs_mf_mm,seuratCCA,higher expression,0.8580277181170133,0.8649990909339094,0.9998743818435948,0.6482314318418503,seuratCCA higher expression,0.004108470731731133,0.993333296137399,0.997736658901817,0.9303888769267782,0.9803482175922095,0.9951814610450033,0.9898493976332097
hs_mf_mm,seuratCCA,stronger homology,0.8685939034537653,0.8682805687194236,0.9998552967052938,0.6474743038415909,seuratCCA stronger homology,0.004713629959499773,0.9915144066455054,0.9973927899968975,0.9270743783892766,1,1,0.9894348837357132
hs_mf,seuratCCA,higher expression,0.8488718187085637,0.8464358040132832,1,0.67713165283203125,seuratCCA higher expression,0.006759984129991736,0.988189457391368,1,0.9918256520932801,0.9783360827318188,0.9905906166444082,0.9885891834865699
hs_mf_mm,seuratCCA,one2one only,0.8547902676728795,0.8596498893799892,1,0.6359733492136002,seuratCCA one2one only,0.004613543682122745,0.9918152297509797,1,0.8767263562829919,0.9743269649209328,0.9873266658123566,0.9853711831515979
hs_mf_mm_xl,seuratCCA,higher expression,0.8030921262313441,0.7730394851149676,0.9994762733611082,0.6030545458197594,seuratCCA higher expression,0.01863307729534919,0.981917902089537,0.9945612443601303,1,1,1,0.9852623838896363
hs_mf_mm,harmony,one2one only,0.8278419424358067,0.737513101461823,1,0.6641326397657394,harmony one2one only,0.00296131492322114,0.9967812310773604,1,1,0.9242064524620709,0.8079803746322598,0.984034326216605
hs_mf_mm_xl,seuratCCA,stronger homology,0.7887590115817048,0.7539834291524492,0.9992913594911628,0.5984267145395279,seuratCCA stronger homology,0.01650622236321107,0.9854392843759419,0.9912975855331145,0.9745076107756601,0.9670643263164386,0.9677734450036694,0.9833835758821977
hs_mf_mm,harmony,higher expression,0.8267142556767887,0.739391522793469,1,0.6422887444496155,harmony higher expression,0.0018904044999813279,1,1,0.9043734229168314,0.9221090962160768,0.8107386582325293,0.981861058868272
hs_mf_mm_xl,seuratCCA,one2one only,0.8010816703713304,0.7708571237916053,0.9992151481182512,0.6000426113605499,seuratCCA one2one only,0.020779669706172937,0.9783638409369003,0.9899524840542734,0.9834087716463751,0.9953802282491139,0.996309310418298,0.9809436124679233
hs_mf_mm,harmony,stronger homology,0.821711364395738,0.7366516062108742,1,0.6438496559858322,harmony stronger homology,0.0032187277390178424,0.9960075413701774,1,0.9112066651191898,0.9128043445264512,0.8067153505493401,0.9783423511058912
hs_mf_mm,seuratRPCA,higher expression,0.8192402687534626,0.7309054660840802,1,0.6479473561048508,seuratRPCA higher expression,0.005364137812354582,0.9895592156087354,1,0.9291452713349866,0.9082084158801945,0.798277688662963,0.9734289412808955
hs_mf_mm,seuratRPCA,one2one only,0.8074146456898964,0.704613248140178,1,0.6462603062391281,seuratRPCA one2one only,0.003999030505013397,0.9936622338272386,1,0.9217598301536881,0.8862142369144499,0.7596700598271935,0.9733119934065575
hs_mf_mm_xl_dr,seuratRPCA,higher expression,0.6963746162429092,0.5429660612809296,0.9994760834091664,0.5446173511445522,seuratRPCA higher expression,0.04222169148935666,0.980389825981743,1,1,0.9570452069149131,0.7441462407474683,0.9693714331685135
hs_mf,harmony,one2one only,0.8184322397746208,0.6378954005218221,1,0.6734454333782196,harmony one2one only,0.004024318763130086,0.9939744877602393,1,0.9738863515444206,0.8845122017493822,0.6067403492943274,0.9684365353375981
hs_mf_mm_xl,harmony,one2one only,0.7853520679266839,0.7547775726993874,0.9992992751262186,0.5562766306102276,harmony one2one only,0.019064706796726404,0.9812032635603772,0.9914372934535055,0.7423240499889376,0.9592356033052212,0.9691164569438485,0.9680682810328776
