type,integration_method,homology_method,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,cLISI_scaled_rank,silhouette_scaled_rank,ARI_scaled_rank,NMI_scaled_rank,homology_method_intg,integration_method_intg,acc_loss,acc_avg,acc_loss_scaled,acc_loss_scaled_rank,avg_score
seuratCCA higher expression,seuratCCA,higher expression,0.997736658901817,0.9303888769267782,0.9803482175922095,0.9951814610450033,2,2,2,2,higher expression,seuratCCA,8.826904404601876e-5,0.0036603036276593726,0.995900984307986,10,0.9919035481696792
seuratCCA stronger homology,seuratCCA,stronger homology,0.9973927899968975,0.9270743783892766,1,1,3,4,1,1,stronger homology,seuratCCA,6.178833083235746e-4,0.00425299606691989,0.9938057772327713,12,0.9912679802055259
seuratCCA one2one only,seuratCCA,one2one only,1,0.8767263562829919,0.9743269649209328,0.9873266658123566,1,13,3,3,one2one only,seuratCCA,0,0.0040444900689572206,0.9945428597619514,11,0.9875532871603754
harmony one2one only,harmony,one2one only,1,1,0.9242064524620709,0.8079803746322598,1,1,5,4,one2one only,harmony,0.004854797422544022,0.002989056968516257,0.9982738857595478,4,0.9852284499623549
harmony higher expression,harmony,higher expression,1,0.9043734229168314,0.9221090962160768,0.8107386582325293,1,10,4,5,higher expression,harmony,0.0011474975726013525,0.0019493431286482395,1.0019493431286481,1,0.9834205333711904
harmony stronger homology,harmony,stronger homology,1,0.9112066651191898,0.9128043445264512,0.8067153505493401,1,9,6,6,stronger homology,harmony,0.0038838379380351506,0.003237084774180371,0.9973970910193857,5,0.9794539908252579
seuratRPCA higher expression,seuratRPCA,higher expression,1,0.9291452713349866,0.9082084158801945,0.798277688662963,1,3,7,7,higher expression,seuratRPCA,0.0021184570571102235,0.0046453095632184955,0.9924189230083903,14,0.9757167072006194
seuratRPCA one2one only,seuratRPCA,one2one only,1,0.9217598301536881,0.8862142369144499,0.7596700598271935,1,7,11,9,one2one only,seuratRPCA,3.530761761851853e-4,0.0035348244366780078,0.9963445615688405,8,0.975457855599839
seuratRPCA stronger homology,seuratRPCA,stronger homology,1,0.8986254653467977,0.8475258007761441,0.7315217935654054,1,11,13,12,stronger homology,seuratRPCA,8.826904404627411e-4,0.004278191239758557,0.9937167106260525,13,0.9688570214852594
scanorama one2one only,scanorama,one2one only,1,0.8960937651255727,0.7917203575492163,0.5678143052994606,1,12,16,13,one2one only,scanorama,0.0011474975726012415,0.0035136522148000613,0.9964194067771447,7,0.9599169468204284
scanorama stronger homology,scanorama,stronger homology,1,0.7093818523081323,0.7858684292798424,0.5626865544397516,1,15,18,16,stronger homology,scanorama,7.061523523701485e-4,0.002969709133326639,0.9983422816399304,3,0.9515706671133308
scanorama higher expression,scanorama,higher expression,1,0.7118749997122805,0.7878532890203823,0.5631459776252541,1,14,17,15,higher expression,scanorama,3.530761761851853e-4,0.003489852936300226,0.9965035388048116,6,0.9503465443617451
scVI one2one only,scVI,one2one only,0.9670750876708387,0.5471924014119199,0.7886224048958647,0.7366960421596975,5,18,12,14,one2one only,scVI,0.0017653808809251492,0.00353626335902761,0.9963394748829174,9,0.94905087671325
SAMap full,SAMap,full,1,0.625932998542219,0.6988357061917061,0.47666221068109127,1,16,20,18,full,SAMap,0.002861685214626486,0.002267580851795681,1.0008243516744453,2,0.9407310271103071
fastMNN higher expression,fastMNN,higher expression,1,0.9252996108274161,0.8784809580342909,0.7759635925374587,1,5,9,10,higher expression,fastMNN,0.013505163739076731,0.017364378193771145,0.9474561719766318,17,0.9369521456512638
fastMNN stronger homology,fastMNN,stronger homology,1,0.924456751958378,0.8782320090761447,0.7725408730356854,1,6,10,11,stronger homology,fastMNN,0.013593432783123194,0.017878505024097737,0.9456386995388156,18,0.935272441334563
fastMNN one2one only,fastMNN,one2one only,1,0.9160532731374751,0.8865067571122583,0.7766156337172794,1,8,8,8,one2one only,fastMNN,0.014123047047400528,0.018036203521936474,0.945081224891704,19,0.9350237631117139
scVI stronger homology,scVI,stronger homology,0.8501006985019978,0.534482349775009,0.5761598135032104,0.6399138310448559,11,19,15,19,stronger homology,scVI,0.004148645070173984,0.005211344388753797,0.9904179523654052,16,0.9223671965335779
scVI higher expression,scVI,higher expression,0,0.5478170418517122,0,0,12,17,25,26,higher expression,scVI,0.0038838379380351506,0.004825579445902145,0.9917816570191056,15,0.8208161777078702
LIGER_UINMF higher expression,LIGER_UINMF,higher expression,0.9710019188901661,0.09732894189330159,0.5632036357534842,0.3724694125585224,4,24,22,20,higher expression,LIGER_UINMF,0.019507458734221994,0.0835791264844352,0.7133826459582153,20,0.670906312221346
LIGER_UINMF one2one only,LIGER_UINMF,one2one only,0.952077348072084,0.11825573130474104,0.4709520792751392,0.2556340286103408,8,23,23,24,one2one only,LIGER_UINMF,0.023214758584164774,0.1274914399830524,0.5581497058415092,21,0.5363657240363227
LIGER one2one only,LIGER,one2one only,0.9395674628990971,0.41145541248557155,0.4941434087230945,0.4490154495920894,9,21,21,21,one2one only,LIGER,0.04810662900520801,0.1365743447484096,0.5260410351933358,22,0.5355419148396612
LIGER higher expression,LIGER,higher expression,0.8976222555710289,0.28063563928136975,0.4891322388154507,0.6451614562758978,10,22,14,22,higher expression,LIGER,0.037779150851796395,0.1533537950874374,0.4667245655714023,23,0.48900723195430923
LIGER stronger homology,LIGER,stronger homology,0.9585674171063601,0.46862247413217856,0.4611267818535486,0.49380070151986083,7,20,19,25,stronger homology,LIGER,0.03239473916497493,0.27826711321528125,0.025147702778025027,24,0.13922403095301744
LIGER_UINMF stronger homology,LIGER_UINMF,stronger homology,0.9619944303246812,0,0.488299067985922,0.24312760312010198,6,25,24,23,stronger homology,LIGER_UINMF,0.025509753729367146,0.2828801249631897,0.00884040035262934,25,0.09174337535363873
