iLISI_scaled,graph_conn_scaled,pcr_scaled,silhouette_batch_scaled,avg_score,type,homology_method,integration_method,iLISI_scaled_rank,graph_conn_scaled_rank,pcr_scaled_rank,silhouette_batch_scaled_rank
0.8955693991469995,0.988637872344732,0.9326266240043497,0.6291017752191157,0.8614839176787992,scVI one2one only,one2one only,scVI,3,3,4,6
1,0.7847372259039057,0.9573317255584984,0.6917903284052979,0.8584648199669255,scVI stronger homology,stronger homology,scVI,1,15,2,5
0.9225442654775079,0.8797151213629398,0.9333554662617424,0.6259461575184071,0.8403902526551493,scVI higher expression,higher expression,scVI,2,11,3,7
0.7993339401268725,0.8406521209475177,0.8678978875068842,0.3548506771836641,0.7156836564412347,seuratRPCA higher expression,higher expression,seuratRPCA,6,12,8,12
0.6992298040182565,0.9632597604556998,0.9308626111121019,0.268104012558004,0.7153640470360155,seuratCCA stronger homology,stronger homology,seuratCCA,8,6,5,17
0.8050713797574874,0.8388472585128843,0.8683784727310242,0.34805404369864934,0.7150877886750113,seuratRPCA stronger homology,stronger homology,seuratRPCA,5,13,7,13
0.6979423483698852,0.931004476200101,1,0.1991584204786893,0.7070263112621689,seuratCCA one2one only,one2one only,seuratCCA,9,8,1,20
0.8052258686524625,0.7795787390667291,0.8676962954718052,0.3737066088851118,0.7065518780190272,seuratRPCA one2one only,one2one only,seuratRPCA,4,16,9,11
0.670844647636553,0.9718285021403449,0.5576551760905397,0.6043948892000217,0.7011808037668649,harmony stronger homology,stronger homology,harmony,12,5,10,10
0.5186968831619293,1,0.35902686660984534,0.8921912053720799,0.6924787387859636,fastMNN higher expression,higher expression,fastMNN,17,1,14,3
0.6743671850666071,0.9268534926097751,0.9276208659295949,0.23794130240952505,0.6916957115038755,seuratCCA higher expression,higher expression,seuratCCA,11,9,6,18
0.6622366025988863,0.9365332504793671,0.5521369403559393,0.6069309332778354,0.6894594316780069,harmony higher expression,higher expression,harmony,13,7,11,9
0.517708054049948,0.9967326247052306,0.35896164710782796,0.8830876287665584,0.6891224886573912,fastMNN stronger homology,stronger homology,fastMNN,18,2,15,4
0.5439842030828437,0.9018831340486305,0.38426943756588977,0.8922517789008397,0.6805971383995509,fastMNN one2one only,one2one only,fastMNN,16,10,13,2
0.6778261918955484,0.8095959984095272,0.4727181429466834,0.6142513265817217,0.6435979149583702,harmony one2one only,one2one only,harmony,10,14,12,8
0,0.9783337951893804,0.08936014789128922,1,0.5169234857701674,SAMap full,full,SAMap,25,4,24,1
0.7969245477645479,0.178778824767811,0.35172584619197045,0.18231142654311114,0.3774351613168601,LIGER stronger homology,stronger homology,LIGER,7,23,16,23
0.26216360516665477,0.7099598873946377,0.23751161575346105,0.28704060716440877,0.37416892886979053,scanorama stronger homology,stronger homology,scanorama,23,18,18,16
0.28390210677533617,0.7426811331023002,0.17879526836240314,0.2009338855704072,0.3515780984526117,scanorama one2one only,one2one only,scanorama,22,17,20,19
0.24073894425872933,0.6367497845444222,0.21782436072174713,0.2873174272315971,0.3456576291891239,scanorama higher expression,higher expression,scanorama,24,19,19,15
0.6474633655058046,0,0.3490821057067306,0,0.2491363678031338,LIGER one2one only,one2one only,LIGER,14,25,17,25
0.29839653836574065,0.40207698247247015,0.13131633837486018,0.16386463168204446,0.24891362272377884,LIGER_UINMF higher expression,higher expression,LIGER_UINMF,21,20,23,24
0.31278656812582123,0.2799791479159713,0.15491774621904172,0.19884074747307878,0.23663105243347823,LIGER_UINMF one2one only,one2one only,LIGER_UINMF,20,21,22,21
0.3261370946066173,0.2613220013150816,0.1586823764884977,0.19359749138604726,0.23493474094906097,LIGER_UINMF stronger homology,stronger homology,LIGER_UINMF,19,22,21,22
0.60468985588527,0.025325835295933852,0,0.29383172942247365,0.23096185515091938,LIGER higher expression,higher expression,LIGER,15,24,25,14
