type,integration_method,homology_method,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,cLISI_scaled_rank,silhouette_scaled_rank,ARI_scaled_rank,NMI_scaled_rank,homology_method_intg,integration_method_intg,acc_loss,acc_avg,acc_loss_scaled,acc_loss_scaled_rank,avg_score
seuratRPCA stronger homology,seuratRPCA,stronger homology,0.9985846410484049,0.8868887927838593,0.9936566751077075,1,7,4,1,5,stronger homology,seuratRPCA,0.0025453352450808264,0.0012856719746636158,1.0012856719746637,1,0.9949850430267297
seuratRPCA one2one only,seuratRPCA,one2one only,1,0.8264741992267469,0.9937592223300914,0.9985521561437812,1,8,2,4,one2one only,seuratRPCA,0.0035636651839807687,0.0030692634521850004,0.9956662638066109,2,0.9874722899303199
seuratRPCA higher expression,seuratRPCA,higher expression,0.9991008420378938,0.8920486394717023,0.9814158763669468,0.9871874602684707,2,3,3,6,higher expression,seuratRPCA,5.086753672803868e-4,0.004515430396001219,0.9911099500773359,3,0.9858756009691195
fastMNN one2one only,fastMNN,one2one only,1,0.8450221051286201,1,0.9869765391704509,1,7,5,1,one2one only,fastMNN,0.006036752178452787,0.013200783801674165,0.9637457545844935,13,0.9625965358825486
fastMNN higher expression,fastMNN,higher expression,1,0.84984043576836,0.995705064005543,0.9846770542373356,1,5,6,3,higher expression,fastMNN,0.010837450461839593,0.014751515271320015,0.9588599984027617,14,0.9585991264227715
fastMNN stronger homology,fastMNN,stronger homology,1,0.8495128637578272,0.9985893968635999,0.9871741828688022,1,6,4,2,stronger homology,fastMNN,0.00909174199515339,0.01600270521809588,0.9549179819178722,16,0.9556982077088093
harmony stronger homology,harmony,stronger homology,0.9990057216205799,0.622631866168187,0.840601645154283,0.7060616030158128,4,12,15,15,stronger homology,harmony,0.007200557822910181,0.004861701067403301,0.9900189848738364,4,0.9504302296970124
harmony higher expression,harmony,higher expression,0.9986879317708639,0.6251315600438736,0.8322952432466523,0.7039218821361153,6,11,16,16,higher expression,harmony,0.008218887761810456,0.005821683577123649,0.9869944505988651,5,0.9475973913389675
harmony one2one only,harmony,one2one only,0.9988117018926511,0.5220522170519939,0.880376359826181,0.7840762759187256,5,14,12,10,one2one only,harmony,0.011855780400739646,0.008038930028365587,0.9800087630265015,7,0.94327283815567875
seuratCCA one2one only,seuratCCA,one2one only,0.997846154614173,0.8034395118545099,0.9479364832323383,0.9627410289848551,8,9,7,8,one2one only,seuratCCA,0.010401023345168015,0.020055816581293406,0.9421481927663616,17,0.9393167131473831
