type,PCR,iLISI,bASW,GC,kBET,integration_method_batch,homology_method_batch,bASW_scaled,GC_scaled,kBET_scaled,PCR_scaled,iLISI_scaled,avg_score_batch,iLISI_scaled_rank,GC_scaled_rank,PCR_scaled_rank,bASW_scaled_rank,kBET_scaled_rank,avg_score_scaled_rank_batch,cASW,cLISI,ARI,NMI,iso_F1,integration_method_bio,homology_method_bio,cASW_scaled,ARI_scaled,NMI_scaled,iso_F1_scaled,cLISI_scaled,avg_score_bio,cLISI_scaled_rank,NMI_scaled_rank,ARI_scaled_rank,cASW_scaled_rank,iso_F1_scaled_rank,avg_score_scaled_rank_bio,integrated_score,integrated_score_rank,task_name,trajectory_conservation_score_batch,traj_scaled,traj_scaled_rank,batch_aggr_with_LISI,bio_aggr_with_LISI,integrated_score_aggr_with_LISI,integrated_score_aggr_rank_with_LISI,batch_aggr_no_LISI,bio_aggr_no_LISI,integrated_score_aggr_no_LISI,integrated_score_aggr_rank_no_LISI
scANVI SH,0.00728507087356216,0.15265149289131497,0.905723712925438,0.9599731217418508,0.4512882864492467,scANVI,SH,0.9763773671900784,0.9232029867159648,0.8069010661913122,0.9524555081754964,0.7781080371521175,0.9147342320682128,6,4,11,4,14,5,0.6615792661905289,1,0.9719817936139484,0.9488773082499258,0.44762215924391424,scANVI,SH,0.8975643005444115,0.9981462713061492,0.9941011962073204,0.9454898262427082,1,0.9588253985751471,1,2,2,3,3,1,0.9411889319723734,1,Pancreas_hs_mm,NA,NA,NA,0.4953843369762826,0.8060121054596635,0.6817609980663111,1,0.5810675479975245,0.7575151318245794,0.6869360982937575,1
SeuratV4 RPCA HE,0.00391992339742561,0.16408256258647014,0.8572452154345569,0.957295400277695,0.4768688904232532,SeuratV4 RPCA,HE,0.8535639451414777,0.914128368231337,0.8827792016845676,0.9780888852493408,0.836375447673802,0.9071401000766808,3,8,9,11,8,8,0.6605275124311447,1,0.9501842530527724,0.9162461662326378,0.4285386567315429,SeuratV4 RPCA,HE,0.8920233741908153,0.9690570753607736,0.9266722599429504,0.8790062138277086,1,0.916689730830562,1,8,4,4,13,4,0.9128698785290096,2,Pancreas_hs_mm,NA,NA,NA,0.4918823984238802,0.7910993176896196,0.6714125499833238,2,0.5738323573832327,0.7388741471120245,0.6728574312205078,2
scANVI O2O,0.00746604009615528,0.1406177283628518,0.9019474395159216,0.9603563515100108,0.47263674915278553,scANVI,O2O,0.9668107121983248,0.9245017267023884,0.8702256674101831,0.9510770092079516,0.7167685198015735,0.928153778879712,7,3,12,6,10,4,0.6512653529644012,1,0.9733708566347864,0.9517319388425896,0.3937874002893509,scANVI,O2O,0.8432277858484081,1,1,0.7579388645432056,1,0.9002916625979035,1,1,1,10,17,7,0.9114365091106268,3,Pancreas_hs_mm,NA,NA,NA,0.49660486172754503,0.7940311097462256,0.6750606105387533,3,0.5856016450687183,0.742538887182782,0.6797639903371565,4
scANVI HE,0.00681717770435846,0.1539172082399074,0.9025826867649168,0.9462153564569104,0.49980708976303245,scANVI,HE,0.9684200213257528,0.8765788427065537,0.9508193386275292,0.9560195962642134,0.7845597479531888,0.9379594497310124,5,14,10,5,2,3,0.6472848057746887,1,0.9683344149113212,0.9436026111704904,0.3923514710595987,scANVI,HE,0.8222571749726023,0.9932787811656932,0.9832015711499236,0.7529363361915927,1,0.8879184658699529,1,3,3,11,18,8,0.9079348594143768,4,Pancreas_hs_mm,NA,NA,NA,0.501867903785825,0.7903146605832198,0.6749359578642619,5,0.5888555776723046,0.7378933257290247,0.6782782265063366,5
SeuratV4 CCA HE,0.00199248826056919,0.15514997651119167,0.8406175937018177,0.9538205886222386,0.45684407771007474,SeuratV4 CCA,HE,0.8114402154216878,0.9023524645381028,0.8233808601199357,0.99277075937188,0.7908435181388848,0.8824860748629015,4,11,6,14,12,11,0.6810231506824493,1,0.9102120693636164,0.8860825407687855,0.4397528316196491,SeuratV4 CCA,HE,1,0.915713502931808,0.8643421956802022,0.9180744538602472,1,0.9245325381180644,1,12,12,1,6,3,0.9077139528159992,5,Pancreas_hs_mm,NA,NA,NA,0.48168494496117836,0.7834141184869001,0.6627224490766114,11,0.563318687073675,0.7292676481086251,0.662888063694645,11
SeuratV4 RPCA SH,0.00372879418309493,0.11407558246486672,0.8571635342006519,0.9178168671759194,0.49046566488224186,SeuratV4 RPCA,SH,0.8533570172791836,0.7803382668234938,0.9231104579644712,0.9795447760403114,0.5814756598674057,0.8840876295268649,9,18,8,12,4,9,0.6603949666023254,1,0.9496948486206086,0.9167934172258309,0.4236479697966032,SeuratV4 RPCA,SH,0.8913250865266058,0.9684039566575972,0.9278030984628244,0.8619679089140877,1,0.9123750126402788,1,7,5,5,16,5,0.9010600593949132,6,Pancreas_hs_mm,NA,NA,NA,0.47665008858135494,0.7901062404490736,0.6647237797019862,6,0.5672937151104771,0.7376328005613421,0.6694971663809961,6
SeuratV4 CCA SH,0.00196524720454249,0.19618290211989176,0.8351778244886561,0.9477183761295218,0.428715823657949,SeuratV4 CCA,SH,0.7976593289090919,0.8816724755904876,0.7399457905522009,0.9929782629853096,1,0.8530639645092725,1,13,5,15,18,12,0.678838238120079,0.9998642900521166,0.9180411383945484,0.8880363238491664,0.4408599014670542,SeuratV4 CCA,SH,0.988489283266998,0.9261615313445312,0.8683794897084534,0.9219312931696716,0.839102470566019,0.9262403993724136,3,10,11,2,5,2,0.8969698254271571,7,Pancreas_hs_mm,NA,NA,NA,0.48195203472011217,0.785127978376593,0.6638576009140007,9,0.5533943178701674,0.731443900457712,0.6602240674226941,9
SeuratV4 RPCA O2O,0.00370219950610175,0.1250041025017843,0.8676411242520411,0.9315746418264884,0.4650290855454424,SeuratV4 RPCA,O2O,0.8799005109028365,0.8269624425723922,0.8476595336874744,0.9797473559831988,0.6371814319751039,0.8835674607864754,8,16,7,9,11,10,0.6514235734939575,1,0.946253627540925,0.9139058855954502,0.4266984320675596,SeuratV4 RPCA,O2O,0.8440613348555556,0.9638115874406512,0.9218363080218668,0.8725951903147307,1,0.9005761051582011,1,9,6,9,15,6,0.8937726474095108,8,Pancreas_hs_mm,NA,NA,NA,0.4785902307263716,0.7876563037395784,0.6640298745342956,10,0.5669867627825185,0.734570379674473,0.6675369329176912,10
SeuratV4 CCA O2O,0.00164666630200863,0.17097733945822813,0.8506517699071956,0.9529023753964646,0.48863303400000935,SeuratV4 CCA,O2O,0.8368603827330388,0.8992407014876971,0.9176744403265584,0.9954049930056388,0.8715200846286801,0.9122951293882332,2,12,4,13,5,6,0.6435487419366837,0.9994380753219576,0.920320888511142,0.887655978314283,0.4380576052002414,SeuratV4 CCA,O2O,0.8025745692352659,0.9292038974161512,0.8675935443432404,0.9121685790791104,0.3337828668042156,0.8778851475184422,12,11,10,12,7,9,0.8916491402663587,9,Pancreas_hs_mm,NA,NA,NA,0.4929622370127813,0.7778042578568616,0.6638674495192294,4,0.5734584614014195,0.7223958034905875,0.6628208666549203,3
fastMNN SH,0.01460484158219272,6.661338147750939e-16,0.8240243141097652,0.9826342409064824,0.2548192863057309,fastMNN,SH,0.7694034866618391,1,0.22412743706737023,0.896698533481531,3.3954733443998328e-15,0.722557364302685,22,1,19,18,26,21,0.6555355903808734,1,0.9398067626534174,0.9200267814498873,0.3863034496145528,fastMNN,SH,0.8657245640400042,0.9552081344309072,0.93448451678609,0.7318660786029048,1,0.8718208234649766,1,5,8,7,19,10,0.81211543980006,10,Pancreas_hs_mm,NA,NA,NA,0.41521653658083435,0.7803345168197462,0.6342873247241815,7,0.5190206707260429,0.7254181460246828,0.6428591559052268,8
