from_species,test_acc,type_label,integration_method,input_file,homology_method,acc_prior,acc_loss,type,task_name
hsapiens,0.5781204538842013,original,LIGER,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9834157695664824,0.40529531568228105,LIGER stronger homology,Pancreas
mmusculus,0.6321155480033984,original,LIGER,baron_pancreas_metadata_gene_id_nost_one2one_only_LIGER_integrated.h5ad,one2one only,0.9753610875106202,0.3432455395072218,LIGER one2one only,Pancreas
mmusculus,0.6661002548853017,original,LIGER,baron_pancreas_metadata_gene_id_nost_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9753610875106202,0.30926083262531856,LIGER higher expression,Pancreas
mmusculus,0.6805437553101105,original,LIGER,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9753610875106202,0.29481733220050976,LIGER stronger homology,Pancreas
mmusculus,0.7867459643160578,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_expr_rligerUINMF_integrated.h5ad,higher expression,0.9753610875106202,0.18861512319456242,LIGER UINMF higher expression,Pancreas
mmusculus,0.7969413763806287,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.9753610875106202,0.17841971112999155,LIGER UINMF stronger homology,Pancreas
mmusculus,0.8122344944774851,original,LIGER UINMF,rliger_uinmf_metadata_one2one_only_rligerUINMF_integrated.h5ad,one2one only,0.9753610875106202,0.16312659303313515,LIGER UINMF one2one only,Pancreas
hsapiens,0.8674716322374163,original,LIGER,baron_pancreas_metadata_gene_id_nost_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9834157695664824,0.11594413732906605,LIGER higher expression,Pancreas
hsapiens,0.9055862670933954,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_expr_rligerUINMF_integrated.h5ad,higher expression,0.9834157695664824,0.07782950247308695,LIGER UINMF higher expression,Pancreas
hsapiens,0.9074774512656386,original,LIGER,baron_pancreas_metadata_gene_id_nost_one2one_only_LIGER_integrated.h5ad,one2one only,0.9834157695664824,0.07593831830084374,LIGER one2one only,Pancreas
mmusculus,0.9201359388275276,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_one2one_only_seuratCCA_integrated.h5ad,one2one only,0.9753610875106202,0.055225148683092584,SeuratV4 CCA one2one only,Pancreas
mmusculus,0.9286321155480034,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_seuratCCA_integrated.h5ad,stronger homology,0.9753610875106202,0.04672897196261683,SeuratV4 CCA stronger homology,Pancreas
hsapiens,0.9386092522548736,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.9834157695664824,0.044806517311608784,LIGER UINMF stronger homology,Pancreas
mmusculus,0.931180968564146,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_many_higher_expr_seuratCCA_integrated.h5ad,higher expression,0.9753610875106202,0.04418011894647422,SeuratV4 CCA higher expression,Pancreas
mmusculus,0.94732370433305,original,fastMNN,baron_pancreas_metadata_gene_id_nost_one2one_only_fastMNN_integrated.h5ad,one2one only,0.9753610875106202,0.028037383177570208,fastMNN one2one only,Pancreas
hsapiens,0.95679371544952,original,LIGER UINMF,rliger_uinmf_metadata_one2one_only_rligerUINMF_integrated.h5ad,one2one only,0.9834157695664824,0.02662205411696239,LIGER UINMF one2one only,Pancreas
mmusculus,0.9498725573491928,original,Scanorama,baron_pancreas_metadata_gene_id_nost_one2one_only_scanorama_integrated.h5ad,one2one only,0.9753610875106202,0.02548853016142738,Scanorama one2one only,Pancreas
