integration_method,homology_method,species_dir,adj_rand_score,pct_cell_type_kept,from_species,to_species,task_name,type
scANVI,O2O,sscrofa to hsapiens,0.994984575109913,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scANVI O2O
scANVI,HE,sscrofa to hsapiens,0.9949007324045572,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scANVI HE
scANVI,SH,sscrofa to hsapiens,0.994349421229015,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scANVI SH
scANVI,SH,mmulatta to hsapiens,0.9942025574933114,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scANVI SH
scANVI,HE,mmulatta to hsapiens,0.9933227307989042,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scANVI HE
scANVI,O2O,mmulatta to hsapiens,0.9932496964905964,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scANVI O2O
fastMNN,HE,sscrofa to hsapiens,0.9930862321198024,0.8181818181818182,sscrofa,hsapiens,Hippocampus_hs_mu_ss,fastMNN HE
scANVI,HE,hsapiens to mmusculus,0.9929946533940488,1,hsapiens,mmusculus,Pancreas_hs_mm,scANVI HE
fastMNN,SH,sscrofa to hsapiens,0.9927879721947188,0.8181818181818182,sscrofa,hsapiens,Hippocampus_hs_mu_ss,fastMNN SH
fastMNN,O2O,sscrofa to hsapiens,0.9926961187686346,0.8181818181818182,sscrofa,hsapiens,Hippocampus_hs_mu_ss,fastMNN O2O
scANVI,SH,drerio to mfascicularis,0.9926416156690546,1,drerio,mfascicularis,Heart_mf_dr,scANVI SH
scANVI,HE,drerio to mfascicularis,0.99155479257239,1,drerio,mfascicularis,Heart_mf_dr,scANVI HE
fastMNN,HE,mmulatta to hsapiens,0.9909270159191056,0.9166666666666666,mmulatta,hsapiens,Hippocampus_hs_mu_ss,fastMNN HE
scANVI,SH,hsapiens to mmusculus,0.990907066445592,1,hsapiens,mmusculus,Pancreas_hs_mm,scANVI SH
fastMNN,SH,mmulatta to hsapiens,0.9908990963860608,0.9166666666666666,mmulatta,hsapiens,Hippocampus_hs_mu_ss,fastMNN SH
fastMNN,O2O,mmulatta to hsapiens,0.9908018557211066,0.9166666666666666,mmulatta,hsapiens,Hippocampus_hs_mu_ss,fastMNN O2O
scANVI,SH,drerio to hsapiens,0.9902405787704628,1,drerio,hsapiens,Heart_hs_dr,scANVI SH
scANVI,O2O,drerio to hsapiens,0.9897623871420154,1,drerio,hsapiens,Heart_hs_dr,scANVI O2O
scVI,SH,sscrofa to hsapiens,0.9889490683320532,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scVI SH
scANVI,SH,mfascicularis to mmusculus,0.988863138613626,1,mfascicularis,mmusculus,Heart_mf_mm,scANVI SH
scVI,O2O,sscrofa to hsapiens,0.988708594615144,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scVI O2O
SeuratV4 CCA,HE,mmulatta to hsapiens,0.9885872710022324,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA HE
scANVI,O2O,mfascicularis to mmusculus,0.9885015241277276,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI O2O
scVI,O2O,mmulatta to hsapiens,0.987834316542707,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scVI O2O
scANVI,SH,mfascicularis to mmusculus,0.9877270608773712,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,scANVI SH
SeuratV4 RPCA,HE,sscrofa to hsapiens,0.987593773323101,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA HE
scANVI,SH,drerio to mfascicularis,0.9875741922568956,1,drerio,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI SH
scANVI,HE,mfascicularis to mmusculus,0.987392357245366,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,scANVI HE
scVI,HE,sscrofa to hsapiens,0.9873517346206128,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,scVI HE
scVI,HE,mmulatta to hsapiens,0.9872043787971524,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scVI HE
scANVI,O2O,mfascicularis to mmusculus,0.9871279976360182,1,mfascicularis,mmusculus,Heart_mf_mm,scANVI O2O
scVI,SH,mmulatta to hsapiens,0.987064029733966,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,scVI SH
scANVI,O2O,drerio to hsapiens,0.986912706664382,1,drerio,hsapiens,Heart_hs_mf_mm_xl_dr,scANVI O2O
SeuratV4 CCA,O2O,mmulatta to hsapiens,0.9866715799678164,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA O2O
SeuratV4 CCA,SH,mmulatta to hsapiens,0.986545187887258,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA SH
fastMNN,HE,drerio to hsapiens,0.9865121226392825,1,drerio,hsapiens,Heart_hs_dr,fastMNN HE
scANVI,HE,drerio to mfascicularis,0.9864503598715376,1,drerio,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI HE
scANVI,SH,mfascicularis to mmusculus,0.9861842683578348,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI SH
SeuratV4 RPCA,O2O,sscrofa to hsapiens,0.9860853069997292,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA O2O
SeuratV4 RPCA,O2O,mmulatta to hsapiens,0.9859196031034152,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA O2O
fastMNN,SH,xtropicalis to hsapiens,0.985833643700253,1,xtropicalis,hsapiens,Heart_hs_xl,fastMNN SH
